time,Node Name,CPU Count,Allocated Memory,Node CPU,Node Memory,Node Network Receive,Node Network sent,NameSpace,Deployment Name,Pod Name,Assigned Container CPU,Assigned Container Memory,Pod CPU,Pod Memory,Bytes Received,Bytes Sent
2020-10-06 13:02:18.427514,slave2,1,1883952,0.9896363636363595,843168.0,26330.618181818183,35354.87272727272,fedlearn,client1,client1-7bd7595cc7-jtwfj,1,700,0.003058530896917254,293396.0,1444.370649152584,1591.616854844661
2020-10-06 13:02:18.486033,slave2,1,1883952,0.9896363636363595,843168.0,26330.618181818183,35354.87272727272,fedlearn,client2,client2-57749dd7bb-kwmvf,1,700,0.0032470514902880328,240728.0,1477.683956574186,1628.3387902808893
2020-10-06 13:02:18.554733,slave3,1,1883952,0.9683636363636269,877576.0,201807.7090909091,242928.8727272727,fedlearn,client3,client3-6b5d4579b7-g4xhk,1,700,0.003055947571709003,312440.0,1412.385102720914,1556.7436920936022
2020-10-06 13:02:18.595073,slave2,1,1883952,0.9896363636363595,843168.0,26330.618181818183,35354.87272727272,fedlearn,client4,client4-5cd9d776bd-28bs7,1,700,0.003103309832437545,221944.0,1392.8077455048408,1535.0811014711428
2020-10-06 13:02:18.637621,slave3,1,1883952,0.9683636363636269,877576.0,201807.7090909091,242928.8727272727,fedlearn,client5,client5-b7ffc7bfc-xsjdn,1,700,0.0028618030730636506,282512.0,1426.6141254925735,1574.6589875719915
2020-10-06 13:02:18.676867,slave1,1,1883952,0.9841818181818114,634408.0,22655.672727272726,34430.1090909091,fedlearn,client6,client6-5dfc7544c8-f49v2,1,700,0.003173319051512655,583804.0,1395.7115009746587,1538.0116959064326
2020-10-06 13:02:18.714305,slave4,1,1883952,0.9914184938729615,593696.0,49578.7062288644,57924.51183593324,fedlearn,server,server-559df49f7b-m8vm5,1,700,0.00961563296463627,612024.0,8231.133277512834,6779.642506097783
2020-10-06 13:02:20.822456,slave2,1,1883952,0.9896363636363595,843168.0,26330.618181818183,35354.87272727272,fedlearn,client1,client1-7bd7595cc7-jtwfj,1,700,0.003058530896917254,293396.0,1444.370649152584,1591.616854844661
2020-10-06 13:02:20.868925,slave2,1,1883952,0.9896363636363595,843168.0,26330.618181818183,35354.87272727272,fedlearn,client2,client2-57749dd7bb-kwmvf,1,700,0.0032470514902880328,240728.0,1477.683956574186,1628.3387902808893
2020-10-06 13:02:20.911502,slave3,1,1883952,0.9689090909090887,877604.0,201500.7272727273,242952.6545454545,fedlearn,client3,client3-6b5d4579b7-g4xhk,1,700,0.003055947571709003,312440.0,1415.7472282623285,1560.763469437062
2020-10-06 13:02:20.954181,slave2,1,1883952,0.9896363636363595,843168.0,26330.618181818183,35354.87272727272,fedlearn,client4,client4-5cd9d776bd-28bs7,1,700,0.003103309832437545,221944.0,1392.807745504841,1535.0811014711428
2020-10-06 13:02:21.000900,slave3,1,1883952,0.9689090909090887,877604.0,201500.7272727273,242952.6545454545,fedlearn,client5,client5-b7ffc7bfc-xsjdn,1,700,0.0028618030730636506,282512.0,1426.6141254925735,1574.6589875719915
2020-10-06 13:02:21.044647,slave1,1,1883952,0.9841818181818114,634408.0,22655.672727272726,34430.1090909091,fedlearn,client6,client6-5dfc7544c8-f49v2,1,700,0.002951437565161661,583804.0,1161.29012345679,1279.561647173489
2020-10-06 13:02:21.093126,slave4,1,1883952,0.9921818181818168,593704.0,49619.85454545454,58162.18181818182,fedlearn,server,server-559df49f7b-m8vm5,1,700,0.00961563296463627,612024.0,7172.336702736892,5908.829797824391
2020-10-06 13:02:23.195302,slave2,1,1883952,0.9896363636363674,843184.0,26449.072727272724,35519.981818181805,fedlearn,client1,client1-7bd7595cc7-jtwfj,1,700,0.003058530896917254,293396.0,1208.3484486589757,1331.400762551349
2020-10-06 13:02:23.239199,slave2,1,1883952,0.9896363636363674,843184.0,26449.072727272724,35519.981818181805,fedlearn,client2,client2-57749dd7bb-kwmvf,1,700,0.0032470514902880328,240728.0,1450.4019827117213,1598.0172882790305
2020-10-06 13:02:23.295078,slave3,1,1883952,0.9689090909090887,877604.0,201500.7272727273,242952.6545454545,fedlearn,client3,client3-6b5d4579b7-g4xhk,1,700,0.003055947571709003,312440.0,1415.7472282623285,1560.763469437062
2020-10-06 13:02:23.343196,slave2,1,1883952,0.9896363636363674,843184.0,26449.072727272724,35519.981818181805,fedlearn,client4,client4-5cd9d776bd-28bs7,1,700,0.003103309832437545,221944.0,1392.8077455048408,1535.0811014711428
2020-10-06 13:02:23.885236,slave3,1,1883952,0.9689090909090887,877604.0,201500.7272727273,242952.6545454545,fedlearn,client5,client5-b7ffc7bfc-xsjdn,1,700,0.0028618030730636506,282512.0,1426.6141254925735,1574.6589875719915
2020-10-06 13:02:23.927268,slave1,1,1883952,0.9845454545454517,634424.0,22899.545454545456,34554.32727272726,fedlearn,client6,client6-5dfc7544c8-f49v2,1,700,0.002951437565161661,583804.0,1094.1796621182586,1205.5832846003898
2020-10-06 13:02:23.972235,slave4,1,1883952,0.9914545454545399,593708.0,49544.98181818182,58031.07272727272,fedlearn,server,server-559df49f7b-m8vm5,1,700,0.00961563296463627,612024.0,8255.34642802195,6800.400020513873
2020-10-06 13:02:26.081204,slave2,1,1883952,0.9896363636363674,843184.0,26449.072727272724,35519.981818181805,fedlearn,client1,client1-7bd7595cc7-jtwfj,1,700,0.003058530896917254,293396.0,1147.5513936864327,1263.825
2020-10-06 13:02:26.125926,slave2,1,1883952,0.9896363636363674,843184.0,26449.072727272724,35519.981818181805,fedlearn,client2,client2-57749dd7bb-kwmvf,1,700,0.0032470514902880328,240728.0,1445.1770564367393,1591.433050534858
2020-10-06 13:02:26.172709,slave3,1,1883952,0.9674545454545439,877616.0,201843.9818181818,243236.58181818182,fedlearn,client3,client3-6b5d4579b7-g4xhk,1,700,0.0030299899851017895,312440.0,1415.7472282623285,1560.763469437062
2020-10-06 13:02:26.264204,slave2,1,1883952,0.9896363636363674,843184.0,26449.072727272724,35519.981818181805,fedlearn,client4,client4-5cd9d776bd-28bs7,1,700,0.003103309832437545,221944.0,1138.8988934993083,1254.9799698227084
2020-10-06 13:02:26.309394,slave3,1,1883952,0.9674545454545439,877616.0,201843.9818181818,243236.58181818185,fedlearn,client5,client5-b7ffc7bfc-xsjdn,1,700,0.0030164399134097824,282512.0,1426.6141254925735,1574.6589875719915
2020-10-06 13:02:26.358407,slave1,1,1883952,0.9845454545454517,634424.0,22899.545454545456,34554.32727272726,fedlearn,client6,client6-5dfc7544c8-f49v2,1,700,0.002951437565161661,583804.0,1402.6484373401008,1546.081581694263
2020-10-06 13:02:26.416566,slave4,1,1883952,0.9914545454545399,593708.0,49544.98181818182,58031.07272727272,fedlearn,server,server-559df49f7b-m8vm5,1,700,0.00961563296463627,612024.0,8255.34642802195,6800.400020513873
2020-10-06 13:02:28.551178,slave2,1,1883952,0.9896363636363629,842912.0,26299.600000000002,35193.399999999994,fedlearn,client1,client1-7bd7595cc7-jtwfj,1,700,0.003058530896917254,293396.0,1427.0856286633466,1571.8566832664935
2020-10-06 13:02:28.592657,slave2,1,1883952,0.9896363636363629,842912.0,26299.600000000002,35193.399999999994,fedlearn,client2,client2-57749dd7bb-kwmvf,1,700,0.003055240791931254,240728.0,1445.1770564367393,1591.433050534858
2020-10-06 13:02:28.635648,slave3,1,1883952,0.9674545454545439,877616.0,201843.9818181818,243236.58181818182,fedlearn,client3,client3-6b5d4579b7-g4xhk,1,700,0.0030299899851017895,312440.0,1415.7472282623285,1560.763469437062
2020-10-06 13:02:28.676997,slave2,1,1883952,0.9896363636363629,842912.0,26299.600000000002,35193.399999999994,fedlearn,client4,client4-5cd9d776bd-28bs7,1,700,0.002947649414381978,221948.0,1424.6105359743083,1570.2232062713183
2020-10-06 13:02:28.719572,slave3,1,1883952,0.9674545454545439,877616.0,201843.9818181818,243236.58181818182,fedlearn,client5,client5-b7ffc7bfc-xsjdn,1,700,0.0030164399134097824,282512.0,1153.4531858138832,1273.019936344347
2020-10-06 13:02:28.775097,slave1,1,1883952,0.9841818181818114,634428.0,22612.672727272726,34246.18181818182,fedlearn,client6,client6-5dfc7544c8-f49v2,1,700,0.002951437565161661,583804.0,1402.6484373401008,1546.081581694263
2020-10-06 13:02:28.837344,slave4,1,1883952,0.9914000000000043,593720.0,49672.47868220578,58250.46817330593,fedlearn,server,server-559df49f7b-m8vm5,1,700,0.009394761322844258,611960.0,8312.540716612379,6849.42996742671
2020-10-06 13:02:31.156919,slave2,1,1883952,0.9896363636363629,842912.0,26299.600000000002,35193.399999999994,fedlearn,client1,client1-7bd7595cc7-jtwfj,1,700,0.003058530896917254,293396.0,1427.0856286633464,1571.8566832664935
2020-10-06 13:02:31.227043,slave2,1,1883952,0.9896363636363629,842912.0,26299.600000000002,35193.399999999994,fedlearn,client2,client2-57749dd7bb-kwmvf,1,700,0.003055240791931254,240728.0,1445.1770564367393,1591.433050534858
2020-10-06 13:02:31.288276,slave3,1,1883952,0.9665454545454523,877624.0,200160.58181818182,241818.5090909091,fedlearn,client3,client3-6b5d4579b7-g4xhk,1,700,0.0030299899851017895,312440.0,1432.8976981087376,1579.8949737434357
2020-10-06 13:02:31.336458,slave2,1,1883952,0.9896363636363629,842912.0,26299.600000000002,35247.200000000004,fedlearn,client4,client4-5cd9d776bd-28bs7,1,700,0.002947649414381978,221948.0,1424.6105359743083,1570.2232062713185
2020-10-06 13:02:31.385007,slave3,1,1883952,0.9665454545454523,877624.0,200160.58181818182,241818.5090909091,fedlearn,client5,client5-b7ffc7bfc-xsjdn,1,700,0.0030164399134097824,282512.0,1406.4462434743134,1551.2975713096769
2020-10-06 13:02:31.433381,slave1,1,1883952,0.9845454545454563,634452.0,24046.16363636364,35697.545454545456,fedlearn,client6,client6-5dfc7544c8-f49v2,1,700,0.002951437565161661,583804.0,1402.6484373401008,1546.081581694263
2020-10-06 13:02:31.477745,slave4,1,1883952,0.9912547044599295,593720.0,49672.47868220578,58250.46817330593,fedlearn,server,server-559df49f7b-m8vm5,1,700,0.009394761322844258,611960.0,8312.540716612377,6849.42996742671
2020-10-06 13:02:33.577948,slave2,1,1883952,0.9894545454545401,842920.0,27533.745454545457,36613.27272727272,fedlearn,client1,client1-7bd7595cc7-jtwfj,1,700,0.003094165983821857,293396.0,1427.0856286633464,1571.8566832664935
2020-10-06 13:02:33.621000,slave2,1,1883952,0.9894545454545401,842920.0,27533.745454545457,36613.27272727272,fedlearn,client2,client2-57749dd7bb-kwmvf,1,700,0.003055240791931254,240728.0,1452.3091719533172,1599.3489559250559
